hora_utc,estacion,mm
2026-09-22 04:00,las_lomas,0.0
2026-09-22 04:00,llancahue,0.0
2026-09-22 04:00,pichoy,0.0
2026-09-22 05:00,austral,0.0
2026-09-22 05:00,chaihuin,0.0
2026-09-22 05:00,corral,0.0
2026-09-22 05:00,corral_essal,0.0
2026-09-22 05:00,curinanco,0.0
2026-09-22 05:00,islateja,0.0
2026-09-22 05:00,las_lomas,0.0
2026-09-22 05:00,llancahue,0.0
2026-09-22 05:00,pichoy,0.0
2026-09-22 06:00,austral,0.0
2026-09-22 06:00,chaihuin,0.0
2026-09-22 06:00,corral,0.0
2026-09-22 06:00,corral_essal,0.0
2026-09-22 06:00,curinanco,0.0
2026-09-22 06:00,islateja,0.0
2026-09-22 06:00,las_lomas,0.0
2026-09-22 06:00,llancahue,0.0
2026-09-22 06:00,pichoy,0.0
2026-09-22 07:00,austral,0.0
2026-09-22 07:00,chaihuin,0.0
2026-09-22 07:00,corral,0.0
2026-09-22 07:00,corral_essal,0.0
2026-09-22 07:00,curinanco,0.0
2026-09-22 07:00,islateja,0.0
2026-09-22 07:00,las_lomas,0.0
2026-09-22 07:00,llancahue,0.0
2026-09-22 07:00,pichoy,0.0
2026-09-22 08:00,austral,0.0
2026-09-22 08:00,chaihuin,0.0
2026-09-22 08:00,corral,0.0
2026-09-22 08:00,corral_essal,0.5
2026-09-22 08:00,curinanco,0.0
2026-09-22 08:00,islateja,0.0
2026-09-22 08:00,las_lomas,0.0
2026-09-22 08:00,llancahue,0.0
2026-09-22 08:00,pichoy,0.0
2026-09-22 09:00,austral,0.0
2026-09-22 09:00,chaihuin,0.0
2026-09-22 09:00,corral,0.0
2026-09-22 09:00,corral_essal,0.6
2026-09-22 09:00,curinanco,0.0
2026-09-22 09:00,islateja,0.0
2026-09-22 09:00,las_lomas,0.0
2026-09-22 09:00,llancahue,0.0
2026-09-22 09:00,pichoy,0.0
2026-09-22 10:00,austral,0.0
2026-09-22 10:00,chaihuin,0.0
2026-09-22 10:00,corral,0.0
2026-09-22 10:00,corral_essal,0.0
2026-09-22 10:00,curinanco,0.0
2026-09-22 10:00,islateja,0.0
2026-09-22 10:00,las_lomas,0.0
2026-09-22 10:00,llancahue,0.0
2026-09-22 10:00,pichoy,0.0
2026-09-22 11:00,austral,0.0
2026-09-22 11:00,chaihuin,0.0
2026-09-22 11:00,corral,0.0
2026-09-22 11:00,corral_essal,0.0
2026-09-22 11:00,curinanco,0.0
2026-09-22 11:00,islateja,0.0
2026-09-22 11:00,las_lomas,0.0
2026-09-22 11:00,llancahue,0.0
2026-09-22 11:00,pichoy,0.0
2026-09-22 12:00,austral,0.0
2026-09-22 12:00,chaihuin,0.0
2026-09-22 12:00,corral,0.5
2026-09-22 12:00,corral_essal,0.0
2026-09-22 12:00,curinanco,0.0
2026-09-22 12:00,islateja,0.1
2026-09-22 12:00,las_lomas,0.0
2026-09-22 12:00,llancahue,0.0
2026-09-22 12:00,pichoy,0.0
2026-09-22 13:00,austral,0.6
2026-09-22 13:00,chaihuin,0.7
2026-09-22 13:00,corral,0.8
2026-09-22 13:00,corral_essal,0.9
2026-09-22 13:00,curinanco,0.0
2026-09-22 13:00,islateja,0.6
2026-09-22 13:00,las_lomas,0.1
2026-09-22 13:00,llancahue,1.4
2026-09-22 13:00,pichoy,0.0
2026-09-22 14:00,austral,0.3
2026-09-22 14:00,chaihuin,0.0
2026-09-22 14:00,corral,0.0
2026-09-22 14:00,corral_essal,4.4
2026-09-22 14:00,curinanco,0.2
2026-09-22 14:00,islateja,0.2
2026-09-22 14:00,las_lomas,0.6
2026-09-22 14:00,llancahue,0.1
2026-09-22 14:00,pichoy,0.4
2026-09-22 15:00,austral,0.0
2026-09-22 15:00,chaihuin,0.0
2026-09-22 15:00,corral,0.0
2026-09-22 15:00,corral_essal,3.5
